material_code,material_name,category,abc_class,lifecycle_status,custom_flag,promoted_flag,first_stock_in_date,created_at,updated_at
SKU-0001,物料-01,护肤,利润品,淘汰,否,是,2024-01-07,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0002,物料-02,面膜,引流品,售完即止,否,否,2024-01-14,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0003,物料-03,彩妆,利润品,淘汰,是,否,2024-01-21,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0004,物料-04,精华,利润品,新品,是,是,2024-01-28,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0005,物料-05,面膜,利润品,售完即止,否,否,2024-02-04,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0006,物料-06,面膜,利润品,持续销售,是,否,2024-02-11,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0007,物料-07,护肤,主推品,新品,是,否,2024-02-18,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0008,物料-08,洁面,主推品,新品,否,否,2024-02-25,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0009,物料-09,精华,利润品,重新上架,是,否,2024-03-03,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0010,物料-10,面膜,引流品,售完即止,是,否,2024-03-10,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0011,物料-11,面膜,引流品,重新上架,否,否,2024-03-17,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0012,物料-12,彩妆,主推品,售完即止,是,是,2024-03-24,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0013,物料-13,精华,引流品,售完即止,是,是,2024-03-31,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0014,物料-14,精华,利润品,新品,是,是,2024-04-07,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0015,物料-15,面膜,利润品,淘汰,否,否,2024-04-14,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0016,物料-16,洁面,引流品,重新上架,是,是,2024-04-21,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0017,物料-17,精华,主推品,重新上架,是,是,2024-04-28,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0018,物料-18,精华,主推品,新品,是,是,2024-05-05,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0019,物料-19,彩妆,引流品,淘汰,是,否,2024-05-12,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0020,物料-20,彩妆,主推品,售完即止,是,否,2024-05-19,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0021,物料-21,彩妆,引流品,售完即止,是,否,2024-05-26,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0022,物料-22,洁面,引流品,淘汰,是,否,2024-06-02,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0023,物料-23,洁面,主推品,售完即止,否,否,2024-06-09,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0024,物料-24,精华,引流品,重新上架,是,否,2024-06-16,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0025,物料-25,洁面,主推品,重新上架,是,是,2024-06-23,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0026,物料-26,彩妆,利润品,重新上架,否,否,2024-06-30,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0027,物料-27,洁面,利润品,新品,否,是,2024-07-07,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0028,物料-28,精华,主推品,售完即止,是,否,2024-07-14,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0029,物料-29,面膜,引流品,新品,否,否,2024-07-21,2024-01-01 00:00:00,2024-01-01 00:00:00
SKU-0030,物料-30,护肤,利润品,售完即止,是,是,2024-07-28,2024-01-01 00:00:00,2024-01-01 00:00:00
